,datetime,eventid,accountname,clientaddr,servicename,processname,objectname,sharename,securityid
597,2019-07-25T05:04:33.588Z,4688,dc2016$,::1,,c:\windows\system32\backgroundtaskhost.exe,,,s-1-5-18
598,2019-07-25T05:05:21.168Z,5140,win10$,10.1.1.30,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-3602
599,2019-07-25T05:04:36.229Z,4688,dc2016$,::1,,c:\windows\system32\slui.exe,,,s-1-5-20
600,2019-07-25T05:05:26.217Z,4688,dc2016$,::1,,c:\windows\system32\dsregcmd.exe,,,s-1-5-18
601,2019-07-25T05:04:36.543Z,4688,dc2016$,::1,,c:\windows\temp\82460b7d-1f0a-47d4-9300-931c0c2dedf2\dismhost.exe,,,s-1-5-18
602,2019-07-25T05:05:26.243Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
603,2019-07-25T05:05:26.289Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
604,2019-07-25T05:04:37.169Z,4688,dcadmin,::1,,c:\windows\system32\control.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
605,2019-07-25T05:05:26.396Z,4688,dc2016$,::1,,c:\windows\syswow64\dllhost.exe,,,s-1-5-18
606,2019-07-25T05:04:38.497Z,4688,dcadmin,::1,,c:\program files\vmware\vmware tools\vmtoolsd.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
607,2019-07-25T05:05:39.741Z,4769,filesv$,::ffff:10.1.1.21,,,,,
608,2019-07-25T05:04:48.848Z,4769,filesv$,::ffff:10.1.1.21,,,,,
609,2019-07-25T05:05:39.746Z,4769,filesv$,::ffff:10.1.1.21,,,,,
610,2019-07-25T05:04:50.348Z,4688,dcadmin,::1,,c:\windows\system32\control.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
611,2019-07-25T05:05:39.751Z,4769,filesv$,::ffff:10.1.1.21,,,,,
612,2019-07-25T05:10:46.033Z,4688,dc2016$,::1,,c:\windows\microsoft.net\framework\v4.0.30319\ngen.exe,,,s-1-5-18
613,2019-07-25T05:10:46.548Z,4688,dc2016$,::1,,c:\windows\system32\sppsvc.exe,,,s-1-5-18
614,2019-07-25T05:10:46.635Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
615,2019-07-25T05:05:39.757Z,5140,filesv$,10.1.1.21,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-3603
616,2019-07-25T05:10:46.637Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
617,2019-07-25T05:06:10.125Z,4769,dc2016$,::1,,,,,
618,2019-07-25T05:10:46.876Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
619,2019-07-25T05:10:46.878Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
620,2019-07-25T05:10:49.704Z,4688,dcadmin,::1,,c:\users\dcadmin\appdata\local\temp\ffa983b2-3d13-4ddf-88ab-9ed06e780170\dismhost.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
621,2019-07-25T05:06:10.128Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\ipc$,s-1-5-18
622,2019-07-25T05:06:10.133Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
623,2019-07-25T05:06:26.522Z,4673,dcadmin,::1,,c:\windows\system32\svchost.exe,,,
624,2019-07-25T05:10:50.343Z,4688,dc2016$,::1,,c:\windows\servicing\trustedinstaller.exe,,,s-1-5-18
625,2019-07-25T05:06:26.522Z,4688,dc2016$,::1,,c:\windows\system32\backgroundtaskhost.exe,,,s-1-5-18
626,2019-07-25T05:06:39.058Z,4768,dcadmin,::ffff:10.1.1.30,,,,,
627,2019-07-25T05:10:51.206Z,4688,dc2016$,::1,,c:\windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.693_none_42ff55c9655f38bf\tiworker.exe,,,s-1-5-18
628,2019-07-25T05:06:39.069Z,4769,dcadmin,::ffff:10.1.1.30,,,,,
629,2019-07-25T05:11:21.195Z,4769,dc2016$,::1,,,,,
630,2019-07-25T05:06:39.219Z,4769,dcadmin,::ffff:10.1.1.30,,,,,
631,2019-07-25T05:06:41.410Z,4688,dc2016$,::1,,c:\windows\system32\smss.exe,,,s-1-5-18
632,2019-07-25T05:12:09.580Z,4688,dc2016$,::1,,c:\windows\system32\compattelrunner.exe,,,s-1-5-18
633,2019-07-25T05:12:09.622Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
634,2019-07-25T05:06:41.425Z,4688,dc2016$,::1,,c:\windows\system32\csrss.exe,,,s-1-5-18
635,2019-07-25T05:06:41.473Z,4688,dc2016$,::1,,c:\windows\system32\winlogon.exe,,,s-1-5-18
636,2019-07-25T05:06:41.853Z,4688,dc2016$,::1,,c:\windows\system32\logonui.exe,,,s-1-5-18
637,2019-07-25T05:12:17.258Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
638,2019-07-25T05:12:17.279Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
639,2019-07-25T05:06:41.853Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
640,2019-07-25T05:12:17.279Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
641,2019-07-25T05:12:17.279Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
642,2019-07-25T05:12:17.280Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
643,2019-07-25T05:06:41.903Z,4688,dc2016$,::1,,c:\windows\system32\dwm.exe,,,s-1-5-18
644,2019-07-25T05:06:42.211Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
645,2019-07-25T05:06:42.216Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
646,2019-07-25T05:06:42.222Z,4768,dcadmin,::1,,,,,
647,2019-07-25T05:06:42.226Z,4769,dcadmin,::1,,,,,
648,2019-07-25T05:06:42.275Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
649,2019-07-25T05:06:42.276Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
650,2019-07-25T05:06:42.375Z,4688,dc2016$,::1,,c:\windows\system32\smss.exe,,,s-1-5-18
651,2019-07-25T05:06:42.397Z,4688,dc2016$,::1,,c:\windows\system32\csrss.exe,,,s-1-5-18
652,2019-07-25T05:06:42.429Z,4688,dc2016$,::1,,c:\windows\system32\winlogon.exe,,,s-1-5-18
653,2019-07-25T05:06:42.654Z,4688,dc2016$,::1,,c:\windows\system32\logonui.exe,,,s-1-5-18
654,2019-07-25T05:06:42.654Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
655,2019-07-25T05:06:42.737Z,4688,dc2016$,::1,,c:\windows\system32\dwm.exe,,,s-1-5-18
656,2019-07-25T05:06:43.039Z,4688,dc2016$,::1,,c:\windows\system32\tstheme.exe,,,s-1-5-18
657,2019-07-25T05:06:43.442Z,4688,dc2016$,::1,,c:\windows\system32\rdpclip.exe,,,s-1-5-20
658,2019-07-25T05:06:43.716Z,4688,dc2016$,::1,,c:\windows\system32\atbroker.exe,,,s-1-5-18
659,2019-07-25T05:06:43.838Z,4688,dc2016$,::1,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
660,2019-07-25T05:06:43.913Z,4688,dc2016$,::1,,c:\windows\system32\dllhost.exe,,,s-1-5-18
661,2019-07-25T05:06:51.817Z,4688,dc2016$,::1,,c:\windows\system32\tstheme.exe,,,s-1-5-18
662,2019-07-25T05:07:17.108Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
663,2019-07-25T05:07:17.121Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
664,2019-07-25T05:07:17.121Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
665,2019-07-25T05:07:17.121Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
666,2019-07-25T05:07:17.121Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
667,2019-07-25T05:09:26.211Z,4688,dc2016$,::1,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
668,2019-07-25T05:09:26.251Z,4688,dc2016$,::1,,c:\windows\system32\installagent.exe,,,s-1-5-18
669,2019-07-25T05:10:43.671Z,4688,dc2016$,::1,,c:\windows\system32\xblgamesavetask.exe,,,s-1-5-18
670,2019-07-25T05:10:43.675Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
671,2019-07-25T05:10:43.676Z,4688,dc2016$,::1,,c:\windows\system32\usoclient.exe,,,s-1-5-18
672,2019-07-25T05:10:43.679Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
673,2019-07-25T05:10:43.692Z,4688,dc2016$,::1,,c:\windows\system32\xblgamesavetask.exe,,,s-1-5-18
674,2019-07-25T05:10:43.696Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
675,2019-07-25T05:10:43.989Z,4688,dc2016$,::1,,c:\windows\system32\musnotification.exe,,,s-1-5-18
676,2019-07-25T05:10:44.692Z,4688,dc2016$,::1,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
677,2019-07-25T05:10:44.699Z,4688,dc2016$,::1,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
678,2019-07-25T05:10:44.707Z,4688,dc2016$,::1,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
679,2019-07-25T05:10:44.719Z,4688,dc2016$,::1,,c:\program files\windows defender\mpcmdrun.exe,,,s-1-5-18
680,2019-07-25T05:10:44.723Z,4688,dc2016$,::1,,c:\program files\windows defender\mpcmdrun.exe,,,s-1-5-18
681,2019-07-25T05:10:44.728Z,4688,dc2016$,::1,,c:\windows\system32\compattelrunner.exe,,,s-1-5-18
682,2019-07-25T05:10:44.731Z,4688,dc2016$,::1,,c:\windows\system32\dstokenclean.exe,,,s-1-5-18
683,2019-07-25T05:10:44.735Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
684,2019-07-25T05:10:44.737Z,4688,dc2016$,::1,,c:\program files\windows defender\mpcmdrun.exe,,,s-1-5-18
685,2019-07-25T05:10:44.739Z,4688,dc2016$,::1,,c:\program files\windows defender\mpcmdrun.exe,,,s-1-5-18
686,2019-07-25T05:10:44.744Z,4688,dc2016$,::1,,c:\windows\system32\disksnapshot.exe,,,s-1-5-18
687,2019-07-25T05:10:44.754Z,4688,dc2016$,::1,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
688,2019-07-25T05:10:44.755Z,4688,dc2016$,::1,,c:\windows\system32\compattelrunner.exe,,,s-1-5-18
689,2019-07-25T05:10:44.761Z,4688,dc2016$,::1,,c:\windows\system32\cleanmgr.exe,,,s-1-5-18
690,2019-07-25T05:10:44.770Z,4688,dc2016$,::1,,c:\windows\system32\svchost.exe,,,s-1-5-18
691,2019-07-25T05:10:44.843Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
692,2019-07-25T05:10:44.846Z,4688,dc2016$,::1,,c:\windows\system32\sdiagnhost.exe,,,s-1-5-18
693,2019-07-25T05:10:44.861Z,4688,dcadmin,::1,,c:\windows\system32\conhost.exe,,,s-1-5-21-388095587-3916525220-2479421359-3183
694,2019-07-25T05:10:44.885Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
695,2019-07-25T05:10:45.074Z,4688,dc2016$,::1,,c:\windows\microsoft.net\framework64\v4.0.30319\ngentask.exe,,,s-1-5-18
696,2019-07-25T05:10:45.076Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
697,2019-07-25T05:10:45.088Z,4688,dc2016$,::1,,c:\windows\microsoft.net\framework\v4.0.30319\ngentask.exe,,,s-1-5-18
698,2019-07-25T05:10:45.104Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
699,2019-07-25T05:10:45.195Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
700,2019-07-25T05:10:45.203Z,4688,dc2016$,::1,,c:\windows\microsoft.net\framework64\v4.0.30319\ngen.exe,,,s-1-5-18
701,2019-07-25T05:10:45.245Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
702,2019-07-25T05:10:45.279Z,4688,dc2016$,::1,,c:\windows\microsoft.net\framework64\v4.0.30319\ngen.exe,,,s-1-5-18
703,2019-07-25T05:10:45.800Z,4688,dc2016$,::1,,c:\windows\microsoft.net\framework\v4.0.30319\ngen.exe,,,s-1-5-18
704,2019-07-25T05:10:45.931Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
705,2019-07-25T05:15:47.573Z,5140,anonymous logon,10.1.1.30,,,,\*\ipc$,s-1-5-7
706,2019-07-25T05:16:10.161Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
707,2019-07-25T05:17:17.424Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
708,2019-07-25T05:17:17.455Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
709,2019-07-25T05:17:17.455Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
710,2019-07-25T05:17:17.455Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
711,2019-07-25T05:17:17.456Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
712,2019-07-25T05:19:11.978Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\ipc$,s-1-5-20
713,2019-07-25T05:19:16.545Z,5140,filesv$,10.1.1.21,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-3603
714,2019-07-25T05:20:21.223Z,5140,win10$,10.1.1.30,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-3602
715,2019-07-25T05:20:46.018Z,4688,dc2016$,::1,,c:\windows\system32\lpremove.exe,,,s-1-5-18
716,2019-07-25T05:20:46.042Z,4688,dc2016$,::1,,c:\windows\system32\mcbuilder.exe,,,s-1-5-18
717,2019-07-25T05:20:47.064Z,4688,dc2016$,::1,,c:\windows\system32\taskhostw.exe,,,s-1-5-18
718,2019-07-25T05:20:46.062Z,4688,dc2016$,::1,,c:\windows\system32\conhost.exe,,,s-1-5-18
719,2019-07-25T05:20:54.028Z,4769,user01,::ffff:10.1.1.30,,,,,
720,2019-07-25T05:20:54.038Z,4769,user01,::ffff:10.1.1.30,,,,,
721,2019-07-25T05:20:54.046Z,5140,user01,10.1.1.30,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-1103
722,2019-07-25T05:21:48.618Z,4673,dc2016$,::1,,c:\windows\system32\lsass.exe,,,
723,2019-07-25T05:21:51.214Z,4768,win10$,::ffff:10.1.1.30,,,,,
724,2019-07-25T05:21:51.257Z,4768,win10$,::ffff:10.1.1.30,,,,,
725,2019-07-25T05:21:51.231Z,4769,win10$,::ffff:10.1.1.30,,,,,
726,2019-07-25T05:21:51.251Z,4769,win10$,::ffff:10.1.1.30,,,,,
727,2019-07-25T05:21:51.253Z,4768,win10$,::ffff:10.1.1.30,,,,,
728,2019-07-25T05:21:51.259Z,5140,win10$,10.1.1.30,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-3602
729,2019-07-25T05:21:52.426Z,4769,win10$,::ffff:10.1.1.30,,,,,
730,2019-07-25T05:21:51.264Z,4769,win10$,::ffff:10.1.1.30,,,,,
731,2019-07-25T05:21:52.433Z,4769,win10$,::ffff:10.1.1.30,,,,,
732,2019-07-25T05:21:51.270Z,4769,win10$,::ffff:10.1.1.30,,,,,
733,2019-07-25T05:21:51.296Z,4769,win10$,::ffff:10.1.1.30,,,,,
734,2019-07-25T05:21:51.559Z,4768,win10$,::ffff:10.1.1.30,,,,,
735,2019-07-25T05:21:52.441Z,5140,win10$,10.1.1.30,,,,\*\sysvol,s-1-5-21-388095587-3916525220-2479421359-3602
736,2019-07-25T05:21:51.565Z,4769,win10$,::ffff:10.1.1.30,,,,,
737,2019-07-25T05:21:58.301Z,4769,win10$,::ffff:10.1.1.30,,,,,
738,2019-07-25T05:21:52.097Z,4769,win10$,::ffff:10.1.1.30,,,,,
739,2019-07-25T05:22:01.583Z,4768,win10$,::ffff:10.1.1.30,,,,,
740,2019-07-25T05:22:01.588Z,4769,win10$,::ffff:10.1.1.30,,,,,
741,2019-07-25T05:22:16.121Z,5140,anonymous logon,10.1.1.30,,,,\*\ipc$,s-1-5-7
742,2019-07-25T05:22:17.578Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
743,2019-07-25T05:22:17.609Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
744,2019-07-25T05:22:17.609Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
745,2019-07-25T05:22:17.610Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
746,2019-07-25T05:22:17.610Z,4674,local service,,,c:\windows\system32\lsass.exe,-,,
747,2019-07-25T05:26:10.178Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\sysvol,s-1-5-18
748,2019-07-25T05:26:10.176Z,5140,dc2016$,fe80::3531:95a5:3a80:6a3d,,,,\*\ipc$,s-1-5-18
749,2019-07-25T05:26:27.356Z,4768,win10$,::ffff:10.1.1.30,,,,,
750,2019-07-25T05:26:27.698Z,4768,win10$,::ffff:10.1.1.30,,,,,
751,2019-07-25T05:26:27.376Z,4769,win10$,::ffff:10.1.1.30,,,,,
752,2019-07-25T05:26:27.834Z,4769,win10$,::ffff:10.1.1.30,,,,,
753,2019-07-25T05:26:27.706Z,4769,win10$,::ffff:10.1.1.30,,,,,
754,2019-07-25T05:26:28.442Z,5140,win10$,10.1.1.30,,,,\*\ipc$,s-1-5-21-388095587-3916525220-2479421359-3602
755,2019-07-25T05:26:29.077Z,4769,win10$,::ffff:10.1.1.30,,,,,
756,2019-07-25T05:26:29.083Z,4769,win10$,::ffff:10.1.1.30,,,,,
757,2019-07-25T05:26:33.296Z,4769,win10$,::ffff:10.1.1.30,,,,,
